Tür 1;Tür 2;Tür 3;Tür 4;A;Ana;1
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;1 - Gelecek Aylara Ait Gelirler;3;380;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;1 - Gelecek Aylara Ait Gelirler;3;380;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;1 - Gelecek Aylara Ait Gelirler;3;380;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;1 - Gelecek Aylara Ait Gelirler;3;380;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;H - GELECEK AYLARA GELÝRLER VE GÝDER TAHAKKUKLARI;2 - Gider Tahakkuklarý;3;381;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;I - DÝÐER KISA VADELÝ YABANCI KAYNAKLAR;1 - Hesaplanan KDV;3;391;
PASÝF VARLIKLAR;3 - KISA VADELÝ YABANCI KAYNAKLAR;I - DÝÐER KISA VADELÝ YABANCI KAYNAKLAR;1 - Hesaplanan KDV;3;391;
